Sample,Voltage,Problem
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.55,Normal
2,111.38,Normal
3,162.84,Normal
4,209.35,Normal
5,249.5,Normal
6,282.08,Normal
7,306.09,Normal
8,320.82,Normal
9,325.8,Normal
10,320.89,Normal
11,306.24,Normal
12,282.3,Normal
13,249.78,Normal
14,209.68,Normal
15,163.22,Normal
16,111.8,Normal
17,56.98,Normal
18,-56.12,Normal
19,-110.97,Normal
20,-162.46,Normal
21,-209.01,Normal
22,-249.22,Normal
23,-281.86,Normal
24,-305.94,Normal
25,-320.74,Normal
26,-325.8,Normal
27,-320.97,Normal
28,-306.39,Normal
29,-282.51,Normal
30,-250.06,Normal
31,-210.01,Normal
32,-163.59,Normal
33,-112.21,Normal
34,-57.41,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
31,-209.67,Normal
32,-163.33,Normal
33,-112.02,Normal
34,-57.32,Normal
1,56.46,Normal
2,111.2,Normal
3,162.57,Normal
4,209,Normal
5,249.09,Normal
6,281.62,Normal
7,305.59,Normal
8,320.29,Normal
9,325.27,Normal
10,320.37,Normal
11,305.74,Normal
12,281.84,Normal
13,249.37,Normal
14,209.34,Normal
15,162.95,Normal
16,111.61,Normal
17,56.89,Normal
18,-56.03,Normal
19,-110.79,Normal
20,-162.19,Normal
21,-208.67,Normal
22,-248.81,Normal
23,-281.4,Normal
24,-305.45,Normal
25,-320.22,Normal
26,-325.27,Normal
27,-320.44,Normal
28,-305.89,Normal
29,-282.05,Normal
30,-249.65,Normal
